cast_vote_record,precinct,ballot_style,governor_lt_governor_500001343,comptroller_500001345,attorney_general_500001346,u_s_senator_500001386,representative_in_congress_6_500001378
100054,009-002,009-002,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100110,009-018,009-018,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100124,009-016,009-016,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100143,009-006,009-006,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100158,009-029,009-029,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100268,009-035,009-035,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100301,009-035,009-035,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100330,009-035,009-035,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100337,009-040,009-040,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100360,009-006,009-006,undervote,undervote,undervote,undervote,undervote
100389,009-016,009-016,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100395,009-016,009-016,Moore-Miller (10005005.0009160),Barry Glassman (10064064.0000970),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100402,009-012,009-012,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100425,009-013,009-013,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100460,009-040,009-040,Moore-Miller (10005005.0009160),undervote,Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100517,009-001,009-001,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),undervote,Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100556,009-015,009-015,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100582,009-016,009-016,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
100583,002-011,002-011,Lashar-Logansmith (10005005.0000350),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100679,009-006,009-006,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100695,006-003,006-003,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100728,006-003,006-003,Cox-Schifanelli (10005005.0002760),Barry Glassman (10064064.0000970),Michael Anthony Peroutka (10054054.0004580),Chris Chaffee (10043043.0003520),Neil C. Parrott (10213213.0002960)
100747,009-027,009-027,Moore-Miller (10005005.0009160),Brooke Elizabeth Lierman (10064064.0004220),Anthony G. Brown (10054054.0000860),Chris Van Hollen (10043043.0001300),David J. Trone (10213213.0005020)
