county,dem,rep,nlm,lib,grn,unaf,oth,total,pct_dem24,pct_rep24,pct_unaffil24
Allegany,10849,23052,62,272,54,8862,507,43658,24.849970223097714,52.80131934582436,20.298685235237528
Anne Arundel,173216,129562,678,2538,455,105506,3782,415737,41.66480250735441,31.16441404,25.378063535360095
Baltimore City,299106,29102,622,1263,701,63933,5084,399811,74.81184859846277,7.278939298818692,15.990805655672306
Baltimore County,308041,139338,835,2710,675,119734,7042,578375,53.259736330235576,24.091290252863626,20.70179381888913
Calvert,23522,28461,94,460,67,16572,644,69820,33.689487252936125,40.76339157834432,23.735319392724147
Caroline,5994,10891,40,129,25,4927,227,22233,26.959924436648226,48.98574191517115,22.16075204
Carroll,33301,64209,136,845,132,30503,1199,130325,25.55227316324573,49.26836754268176,23.405332821791674
Cecil,19053,35255,127,485,72,17316,818,73126,26.05502831,48.21130651,23.67967617536854
Charles,75729,23318,155,454,103,25042,1099,125900,60.15011914217633,18.52104845115171,19.890389197776013
Dorchester,9574,9482,33,112,15,4334,250,23800,40.22689075630252,39.84033613445378,18.210084033613448
Frederick,78789,68925,266,1270,224,54268,1503,205245,38.38778045750201,33.58181685302931,26.440595386002098
Garrett,3475,13859,22,111,20,3061,186,20734,16.75991125687277,66.84190219,14.763190894183467
Harford,64575,81530,277,1295,158,45260,2053,195148,33.09026994896181,41.77854756390022,23.192653780720274
Howard,123368,48580,344,976,244,63155,2205,238872,51.646069861683245,20.337251749891156,26.438845909106135
Kent,5721,5393,20,73,16,2817,128,14168,40.37972896668549,38.064652738565776,19.88283456
Montgomery,406004,98743,992,2486,783,173554,6179,688741,58.94871947510022,14.336739064466904,25.19873217944046
Prince George's,456887,39974,956,1645,612,100970,11697,612741,74.56445709,6.523800431177283,16.47841420763422
Queen Anne's,11246,20442,52,238,40,8965,332,41315,27.220137964419706,49.47839767638872,21.69914074791238
Saint Mary's,24788,32618,95,513,64,18129,747,76954,32.21145099669933,42.38636068300543,23.558229591704137
Somerset,5365,6256,18,76,16,2558,154,14443,37.14602229453715,43.31510074084331,17.71100186941771
Talbot,10562,11652,37,175,24,6022,243,28715,36.782169597771194,40.57809507226188,20.97161762
Washington,30648,44628,135,661,128,24107,1011,101318,30.249314040940405,44.04745454904361,23.79340294913046
Wicomico,25950,24234,115,389,63,15090,812,66653,38.93298126115854,36.35845348296401,22.639641126430917
Worcester,13654,19819,55,247,41,9242,513,43571,31.33735741663033,45.486676918133625,21.211356177273874
Total,2219417,1009323,6166,19423,4732,923927,48415,4231403,52.451090099430374,23.853152252338052,21.83500366190599
