county,dem,grn,lib,oth,rep,unaf,year,total
Allegany,15557,121,143,411,20006,5891,2012,42129
Anne Arundel,149232,874,1393,270,125386,71623,2012,348778
Baltimore City,309078,1401,917,1556,33005,46649,2012,392606
Baltimore County,297941,1338,1806,5853,132720,75760,2012,515418
Calvert,23349,138,192,536,23448,11201,2012,58864
Caroline,7183,36,59,141,7638,3108,2012,18165
Carroll,32778,270,399,991,56870,19092,2012,110400
Cecil,24197,140,244,747,24372,12824,2012,62524
Charles,55690,140,234,572,25339,15712,2012,97687
Dorchester,10414,25,47,127,7131,2424,2012,20168
Frederick,54564,401,577,98,61079,31441,2012,148160
Garrett,4724,38,52,206,11625,2084,2012,18729
Harford,63549,315,649,1136,67467,26855,2012,159971
Howard,90072,471,698,2405,56330,38779,2012,188755
Kent,6095,35,44,140,4572,1708,2012,12594
Montgomery,345449,1509,1745,3088,125185,139040,2012,616016
Prince George's,443643,765,940,19691,47472,56106,2012,568617
Queen Anne's,11366,64,111,212,15284,5295,2012,32332
Saint Mary's,25295,144,245,474,25721,12049,2012,63928
Somerset,7249,19,30,123,4600,1694,2012,13715
Talbot,9898,48,91,267,10979,4012,2012,25295
Washington,31750,236,322,289,38551,16150,2012,87298
Wicomico,25474,117,192,681,20655,9310,2012,56429
Worcester,14997,71,126,383,14423,6080,2012,36080
Total,2059544,8716,11256,40397,959858,614887,2012,3694658
Allegany,15140,116,203,378,20200,6523,2014,42560
Anne Arundel,147091,825,1748,320,123998,75331,2014,349313
Baltimore City,293242,1215,1094,1366,30156,46098,2014,373171
Baltimore County,297506,1293,2321,4845,131289,83876,2014,521130
Calvert,23222,129,271,465,23930,11959,2014,59976
Caroline,6944,31,88,148,7740,3402,2014,18353
Carroll,31084,266,596,882,58969,21149,2014,112946
Cecil,22917,129,300,665,24692,13288,2014,61991
Charles,58745,122,329,541,24352,16360,2014,100449
Dorchester,10306,29,65,118,7237,2711,2014,20466
Frederick,54421,401,781,200,61145,33947,2014,150895
Garrett,4617,36,74,187,12018,2360,2014,19292
Harford,62814,321,903,1227,68958,30557,2014,164780
Howard,93408,478,907,2213,55440,42994,2014,195440
Kent,6023,29,54,129,4550,1939,2014,12724
Montgomery,357137,1602,2216,3840,121520,148348,2014,634663
Prince George's,427946,746,1059,14752,41780,58394,2014,544677
Queen Anne's,10964,54,153,199,15877,5928,2014,33175
Saint Mary's,25034,128,316,449,25797,12786,2014,64510
Somerset,6409,15,31,101,4731,1712,2014,12999
Talbot,9647,47,114,221,11156,4478,2014,25663
Washington,31917,240,425,330,39134,18051,2014,90097
Wicomico,25314,118,268,534,20504,9958,2014,56696
Worcester,14433,75,161,360,14391,6279,2014,35699
Total,2036281,8445,14477,34470,949564,658428,2014,3701665
Allegany,14477,118,245,321,21060,6830,2016,43051
Anne Arundel,158739,821,2364,965,135542,79071,2016,377502
Baltimore City,308854,1216,1354,1504,32337,45351,2016,390616
Baltimore County,307392,1404,2899,4485,143003,87703,2016,546886
Calvert,23487,146,395,393,25817,12462,2016,62700
Caroline,6844,27,112,130,8803,3582,2016,19498
Carroll,32290,250,771,835,62535,22462,2016,119143
Cecil,22476,148,399,577,27579,13717,2016,64896
Charles,64092,139,426,489,26123,17065,2016,108334
Dorchester,10240,27,105,111,7860,2880,2016,21223
Frederick,60747,411,1091,275,65905,36035,2016,164464
Garrett,4425,41,90,153,12466,2369,2016,19544
Harford,63984,341,1165,1140,75417,32287,2016,174334
Howard,102742,473,1120,1891,56959,44060,2016,207245
Kent,6085,22,56,116,4700,1973,2016,12952
Montgomery,384194,1609,2760,4736,121644,141731,2016,656674
Prince George's,454428,942,1445,12308,43135,63551,2016,575809
Queen Anne's,10803,79,211,177,17289,6236,2016,34795
Saint Mary's,25690,123,478,420,29054,13607,2016,69372
